191TRE0062;900259;1;10-3-2018;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR PEB'18
191TRE0063;900259;1;10-3-2018;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR PEB'18
191TRE0064;900259;1;10-4-2018;187866;187866;0;1;1;187866;187866;;DEND GGL DBT DN APRL2018
191TRE0065;900259;1;10-4-2018;62134;62134;0;1;1;62134;62134;;DEND GGL DBT DN APRL2018
191TRE0066;900259;1;10-5-2018;187866;187866;0;1;1;187866;187866;;DEND GGL DBT APRL 2018
191TRE0067;901781;1;10-6-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR MEI'16
191TRE0068;901781;1;10-7-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR JUNI'16
191TRE0069;901781;1;10-8-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR JULI'16
191TRE0070;901781;1;10-9-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR AGTS'16
191TRE0071;901781;1;10-10-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR SEPT'16
191TRE0072;901781;1;10-11-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR OKT'16
191TRE0073;901781;1;10-12-2016;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR NOP'16
191TRE0074;901781;1;10-1-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR DES'16
191TRE0075;901781;1;10-2-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR PEB'17
191TRE0076;901781;1;10-3-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR MRT'17
191TRE0077;901781;1;10-4-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR MRT'17
191TRE0078;901781;1;10-5-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR APRL'17
191TRE0079;901781;1;10-6-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR MEI'17
191TRE0080;901781;1;10-7-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR JUNI'17
191TRE0081;901781;1;10-8-2017;40000;40000;0;1;1;40000;40000;;DENDA GGL DBT DILUAR NOR JULI'17
191TRE0082;901781;1;10-9-2017;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR AGTS'17
191TRE0083;901781;1;10-10-2017;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR SEPT'17
191TRE0084;901781;1;10-11-2017;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR OKT'17
191TRE0085;901781;1;10-12-2017;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR NOP'17
191TRE0086;901781;1;10-1-2018;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR DES'17
191TRE0087;901781;1;10-2-2018;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR DES'17
191TRE0088;901781;1;10-3-2018;40000;40000;0;1;1;40000;40000;;DEND GGL DBT PIJ DILUAR NOR PEB'18
191TRE0089;901781;1;10-4-2018;40000;40000;0;1;1;40000;40000;;DEND GGL DBT DN APRL2018
191TRE0090;901781;1;10-5-2018;40000;40000;0;1;1;40000;40000;;DEND GGL DBT APRL 2018
191TRE0091;903213;1;10-3-2017;200000;200000;0;1;1;200000;200000;;DENDA GGL DBT DILUAR NOR MRT'17
191TRE0092;903213;1;10-3-2017;200000;200000;0;1;1;200000;200000;;DENDA GGL DBT DILUAR NOR MRT'17
191TRE0093;903213;1;10-11-2017;200000;200000;0;1;1;200000;200000;;DEND GGL DBT PIJ DILUAR NOR OKT'17
191TRE0094;903213;1;10-11-2017;200000;200000;0;1;1;200000;200000;;DEND GGL DBT PIJ DILUAR NOR OKT'17
