182TRE0071;977398;010991;7-5-2018;5499000;152750;65988;36;36;218738;5499000;SLA KW 3 DARMO;OPPO F7 PRO BLACK
182TRE0072;901798;010851;3-5-2018;8398000;699924;100776;12;12;800700;8398000;BCA PLASA MARINA;OPPO F7 & F7
182TRE0073;005880;010193;4-5-2018;825000;82500;9900;10;10;92400;825000;BCA MULYOSARI;PRIMA BOGA KOCHI PAN
182TRE0074;975375;010244;4-5-2018;1650000;165000;19800;10;10;184800;1650000;BCA KARTINI GRESIK;PRIMA BOGA RO, RS
182TRE0075;920219;010338;4-5-2018;825000;82500;9900;10;10;92400;825000;BCA KERTAJAYA;PRIMA BOGA RS
182TRE0076;950799;;11-5-2018;1799000;150012;21588;12;12;171600;1799000;;HANDPHONE OPPO TYPE A37
182TRE0077;901798;;14-5-2018;5499000;458250;65988;12;12;524238;5499000;;HANDPHONE OPPO TYPE F7 PRO  
182TRE0078;53839;;11-5-2018;359000;179500;4308;2;2;183808;359000;;ORIFLAME AMBER ELIXIR CRYSTAL
182TRE0079;010313;;21-4-2018;257000;257000;0;1;1;257000;257000;;BERAS ORGANIK, PTO, LEMPENG, BMB PECEL
182TRE0080;974430;;21-4-2018;122000;122000;0;1;1;122000;122000;;BERAS ORGANIK, LEMPENG
182TRE0081;960196;;21-4-2018;135000;135000;0;1;1;135000;135000;;BERAS ORGANIK, BMB PECEL
182TRE0082;902248;;21-4-2018;257000;257000;0;1;1;257000;257000;;BERAS ORGANIK, LEMPENG, BMB PECEL
182TRE0083;962796;;21-4-2018;100000;100000;0;1;1;100000;100000;;BERAS ORGANIK
