170TRE0077;896480;17-05-2018;27300;27300;0;1;1;27300;27300;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0078;897091;30-04-2018;741200;741200;0;1;1;741200;741200;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0079;897091;17-05-2018;6700;6700;0;1;1;6700;6700;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0080;897126;30-04-2018;35400;35400;0;1;1;35400;35400;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0081;897126;17-05-2018;105450;105450;0;1;1;105450;105450;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0082;897422;17-05-2018;393000;393000;0;1;1;393000;393000;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0083;897658;30-04-2018;46200;46200;0;1;1;46200;46200;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0084;897658;17-05-2018;44300;44300;0;1;1;44300;44300;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0085;897725;30-04-2018;300000;300000;0;1;1;300000;300000;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0086;898039;17-05-2018;114650;114650;0;1;1;114650;114650;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0087;898343;30-04-2018;120300;120300;0;1;1;120300;120300;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0088;898343;17-05-2018;78150;78150;0;1;1;78150;78150;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0089;898808;30-04-2018;259500;259500;0;1;1;259500;259500;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0090;898808;17-05-2018;81700;81700;0;1;1;81700;81700;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0091;898830;30-04-2018;82200;82200;0;1;1;82200;82200;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0092;898830;17-05-2018;37000;37000;0;1;1;37000;37000;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0093;899557;30-04-2018;238950;238950;0;1;1;238950;238950;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0094;899557;30-04-2018;45000;45000;0;1;1;45000;45000;;BELANJA OMI NUGET TGL 18 s.d 30 APRL 2018
170TRE0095;899557;17-05-2018;61050;61050;0;1;1;61050;61050;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0096;899561;30-04-2018;93300;93300;0;1;1;93300;93300;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0097;900257;30-04-2018;1954450;1954450;0;1;1;1954450;1954450;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0098;900257;30-04-2018;513000;513000;0;1;1;513000;513000;;BELANJA OMI NUGET TGL 18 s.d 30 APRL 2018
170TRE0099;900257;17-05-2018;674400;674400;0;1;1;674400;674400;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0100;900289;17-05-2018;91000;91000;0;1;1;91000;91000;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0101;900293;17-05-2018;9000;9000;0;1;1;9000;9000;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0102;900781;17-05-2018;189450;189450;0;1;1;189450;189450;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0103;901147;30-04-2018;95100;95100;0;1;1;95100;95100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0104;901147;17-05-2018;35700;35700;0;1;1;35700;35700;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0105;901149;30-04-2018;728700;728700;0;1;1;728700;728700;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0106;901149;17-05-2018;1904750;1904750;0;1;1;1904750;1904750;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0107;901149;17-05-2018;146000;146000;0;1;1;146000;146000;;BELANJA OMI NUGET TGL 2 s.d 17 MEI 2018
170TRE0108;901423;30-04-2018;25800;25800;0;1;1;25800;25800;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0109;901423;17-05-2018;262200;262200;0;1;1;262200;262200;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0110;901774;17-05-2018;169200;169200;0;1;1;169200;169200;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0111;902098;30-04-2018;93200;93200;0;1;1;93200;93200;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0112;902252;30-04-2018;29700;29700;0;1;1;29700;29700;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0113;902252;17-05-2018;65450;65450;0;1;1;65450;65450;;BELANJA OMI TGL 2 s.d 17 MEI 2018
